LADCD,LADNM,LADCD_ACTIVE,LADNM_ACTIVE,UTLACD,UTLANM,LIEUTENANCY_AREA_1997,LIEUTENANCY_AREA_1997_WIKIDATA
E06000001,Hartlepool,E06000001,Hartlepool,E06000001,Hartlepool,County Durham,Q23082
E06000002,Middlesbrough,E06000002,Middlesbrough,E06000002,Middlesbrough,North Yorkshire,Q23086
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,North Yorkshire,Q23086
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,County Durham,Q23082
E06000005,Darlington,E06000005,Darlington,E06000005,Darlington,County Durham,Q23082
E06000006,Halton,E06000006,Halton,E06000006,Halton,Cheshire,Q23064
E06000007,Warrington,E06000007,Warrington,E06000007,Warrington,Cheshire,Q23064
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,Lancashire,Q23077
E06000009,Blackpool,E06000009,Blackpool,E06000009,Blackpool,Lancashire,Q23077
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",East Riding of Yorkshire,Q23088
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,East Riding of Yorkshire,Q23088
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,Lincolnshire,Q23090
E06000013,North Lincolnshire,E06000013,North Lincolnshire,E06000013,North Lincolnshire,Lincolnshire,Q23090
E06000014,York,E06000014,York,E06000014,York,North Yorkshire,Q23086
E06000015,Derby,E06000015,Derby,E06000015,Derby,Derbyshire,Q23098
E06000016,Leicester,E06000016,Leicester,E06000016,Leicester,Leicestershire,Q23106
E06000017,Rutland,E06000017,Rutland,E06000017,Rutland,Rutland,Q23107
E06000018,Nottingham,E06000018,Nottingham,E06000018,Nottingham,Nottinghamshire,Q23092
