wdcd,longitude,latitude
E05008322,-6.35646,49.95251
E05008323,-6.34588,49.89033
E05008324,-6.28272,49.96094
E05008325,-6.30217,49.92332
E05008326,-6.3351,49.95339
S13002553,-4.52057,55.70518
S13002554,-4.48945,55.63189
S13002555,-4.53765,55.61269
S13002556,-4.46888,55.60801
W05000859,-3.16771,51.51986
W05000868,-3.18655,51.53245
W05000869,-3.12826,51.51958
W05000870,-3.14762,51.51889
W05000892,-3.38461,51.53654
W05000901,-3.12566,51.50249
W05000902,-3.09539,51.51466
S13002557,-4.51209,55.58422
S13002558,-4.34248,55.64126
S13002559,-4.20622,55.50618
S13002560,-4.24735,55.39171
W05000445,-4.72716,51.67581
W05000453,-4.70123,51.68329
W05000462,-4.09937,51.67626
W05000492,-4.09129,51.7062
W05000554,-3.83145,51.61329
W05000556,-3.79929,51.63637
W05000558,-3.7317,51.61692
W05000576,-3.71918,51.56378
W05000580,-3.65546,51.77233
W05000583,-3.76174,51.59694
W05000586,-3.80509,51.59112
W05000588,-3.7081,51.75855
W05000589,-3.75475,51.58619
W05000656,-3.44186,51.68379
W05000660,-3.36151,51.56288
W05000662,-3.32121,51.56545
W05000665,-3.40705,51.70758
W05000670,-3.35014,51.59059
W05000675,-3.37374,51.54885
W05000676,-3.32051,51.55828
W05000679,-3.3717,51.68913
W05000703,-3.34967,51.55368
W05000767,-3.06831,51.73766
W05000771,-3.00451,51.6643
W05000775,-3.06531,51.65903
W05000777,-2.99313,51.65183
W05000778,-2.98465,51.63889
W05000779,-2.99869,51.70819
W05000781,-3.02496,51.66516
W05000785,-3.03409,51.65083
W05000786,-3.06082,51.71745
W05000789,-3.04941,51.66659
S13002561,-4.44165,55.19258
S13002562,-4.34237,55.95537
S13002563,-4.3459,55.92977
S13002564,-4.32475,55.91601
S13002565,-4.19832,55.98009
S13002566,-4.24808,55.93245
S13002568,-4.13783,55.92548
S13002569,-4.10439,55.94502
S13002570,-3.0666,55.93152
S13002571,-3.02503,55.9281
S13002572,-2.90378,55.96704
S13002573,-2.92184,55.9099
S13002574,-2.7501,56.01998
S13002575,-2.73576,55.90393
S13002576,-2.54797,55.95922
S13002577,-4.44272,55.76744
S13002578,-4.3995,55.80358
S13002579,-4.30074,55.8021
S13002580,-4.27195,55.79819
S13002581,-4.35445,55.74513
S13002582,-4.29148,55.7266
S13002583,-3.35969,55.95999
S13002584,-3.34487,55.87916
S13002585,-3.29745,55.94447
S13002586,-3.22814,55.97685
S13002587,-3.23517,55.96
S13002588,-3.2595,55.94369
S13002589,-3.27439,55.92906
S13002590,-3.24457,55.89182
S13002591,-3.23221,55.92401
S13002592,-3.20405,55.92773
S13002593,-3.18908,55.95222
S13002594,-3.18342,55.96565
S13002595,-3.17008,55.97694
S13002596,-3.14804,55.95211
S13002597,-3.17014,55.93512
S13002598,-3.14753,55.91019
S13002599,-3.11577,55.93788
S13002609,-3.60308,56.00267
S13002610,-3.70864,56.02212
S13002611,-3.95256,56.01721
S13002612,-3.78254,56.05807
S13002613,-3.86374,56.01803
S13002614,-3.77143,56.00772
S13002615,-3.81118,55.9859
S13002616,-3.70771,55.99256
S13002617,-3.78762,55.94164
S13002618,-3.59787,56.09284
S13002619,-3.44636,56.08779
S13002620,-3.47288,56.07094
S13002621,-3.42557,56.05739
S13002622,-3.43497,56.02589
S13002623,-3.33606,56.05554
S13002624,-3.42327,56.12997
S13002625,-3.34532,56.10342
S13002626,-3.25618,56.14107
S13002627,-3.23933,56.0952
S13002628,-3.19185,56.13286
S13002629,-3.17648,56.11985
S13002630,-3.13728,56.13509
S13002631,-3.22393,56.17955
S13002632,-3.17791,56.21357
S13002633,-3.12884,56.17472
S13002634,-3.16895,56.30095
S13002635,-2.89807,56.40408
S13002636,-2.84939,56.33607
S13002637,-2.78495,56.25647
S13002638,-2.98812,56.30789
S13002639,-2.99256,56.22183
S13002640,-3.0695,56.16572
S13002641,-4.2392,55.80201
S13002642,-4.31079,55.82392
S13002643,-4.35224,55.81525
S13002644,-4.3446,55.84396
S13002645,-4.32206,55.85679
S13002646,-4.28445,55.83781
S13002647,-4.26302,55.82499
S13002648,-4.25379,55.8426
S13002649,-4.21204,55.84713
S13002650,-4.26545,55.86266
S13002651,-4.28276,55.87612
S13002652,-4.32356,55.87925
S13002653,-4.36238,55.88737
S13002654,-4.36244,55.90475
S13002655,-4.28703,55.90575
S13002656,-4.26235,55.88898
S13002657,-4.22132,55.88189
S13002658,-4.19431,55.86392
S13002659,-4.16274,55.83989
S13002660,-4.125,55.8478
S13002662,-4.58753,58.24654
S13002663,-3.53682,58.59583
S13002664,-3.08188,58.45862
S13002665,-3.43597,58.42697
S13002666,-4.00772,58.09366
S13002667,-5.09179,57.58482
S13002668,-4.38805,57.72547
S13002669,-4.0548,57.77676
S13002670,-4.47876,57.57578
S13002671,-4.25612,57.59024
S13002672,-6.22733,57.4258
S13002673,-5.20947,56.9711
S13002674,-4.70279,57.27546
S13002675,-4.26487,57.46524
S13002676,-4.24542,57.48227
S13002677,-4.23502,57.44226
S13002678,-4.21129,57.48007
S13002679,-4.01917,57.50477
S13002680,-3.81842,57.47663
S13002681,-4.0999,57.338
S13002682,-4.0048,57.07207
S13002683,-5.67669,56.77799
S13002684,-4.69347,55.88601
S13002685,-4.76207,55.92774
S13002686,-4.77145,55.95144
S13002687,-4.79119,55.94352
S13002688,-4.85418,55.94551
S13002689,-4.83512,55.91475
S13002690,-3.27462,55.82297
S13002691,-3.11436,55.8724
S13002692,-3.07794,55.90993
S13002693,-3.18596,55.86169
S13002694,-2.9899,55.87266
S13002695,-3.08351,55.81145
S13002696,-3.32559,57.38834
S13002697,-2.84223,57.617
S13002698,-2.94788,57.67423
S13002699,-3.11752,57.64101
S13002700,-3.38593,57.652
S13002701,-3.3136,57.65577
S13002702,-3.32333,57.63683
S13002703,-3.62406,57.53487
S13002704,-4.63587,55.60368
S13002705,-4.59557,55.63551
S13002706,-4.69895,55.67282
